epoch,subepoch,channels,segment_strength,point_strength
0,1,,NA,NA
0,5,,NA,NA
0,6,,NA,NA
0,4,,NA,NA
0,3,,NA,NA
1,1,,NA,NA
1,5,,NA,NA
1,4,,NA,NA
2,3,,NA,NA
2,4,,NA,NA
2,5,,NA,NA
2,6,,NA,NA
3,1,,NA,NA
3,4,,NA,NA
3,3,,NA,NA
3,5,,NA,NA
4,3,,NA,NA
4,6,,NA,NA
4,1,,NA,NA
4,2,,NA,NA
5,1,,NA,NA
5,3,,NA,NA
5,5,,NA,NA
5,6,,NA,NA
6,4,,NA,NA
6,5,,NA,NA
6,2,,NA,NA
6,6,,NA,NA
7,4,,NA,NA
7,1,,NA,NA
7,3,,NA,NA
8,1,,NA,NA
8,6,,NA,NA
8,4,,NA,NA
8,5,,NA,NA
9,1,,NA,NA
9,2,,NA,NA
9,5,,NA,NA
9,3,,NA,NA
9,4,,NA,NA
10,1,,NA,NA
10,2,,NA,NA
10,4,,NA,NA
10,3,,NA,NA
10,5,,NA,NA
10,6,,NA,NA
11,4,,NA,NA
11,3,,NA,NA
11,1,,NA,NA
11,6,,NA,NA
12,1,,NA,NA
12,6,,NA,NA
12,1,,NA,NA
13,6,,NA,NA
13,5,,NA,NA
14,5,,NA,NA
15,5,,NA,NA
16,2,,NA,NA
18,5,,NA,NA
18,6,,NA,NA
18,1,,NA,NA
18,3,,NA,NA
20,2,,NA,NA
22,3,,NA,NA
22,4,,NA,NA
23,5,,NA,NA
23,4,,NA,NA
23,6,,NA,NA
24,3,,NA,NA
24,5,,NA,NA
24,2,,NA,NA
24,1,,NA,NA
24,4,,NA,NA
25,3,,NA,NA
25,6,,NA,NA
25,5,,NA,NA
25,4,,NA,NA
26,5,,NA,NA
26,6,,NA,NA
27,2,,NA,NA
27,4,,NA,NA
27,6,,NA,NA
27,1,,NA,NA
28,4,,NA,NA
28,3,,NA,NA
29,5,,NA,NA
30,4,,NA,NA
30,5,,NA,NA
32,4,,NA,NA
34,6,,NA,NA
35,1,,NA,NA
35,1,,NA,NA
35,4,,NA,NA
36,2,,NA,NA
37,5,,NA,NA
39,4,,NA,NA
40,6,,NA,NA
41,6,,NA,NA
42,1,,NA,NA
42,2,,NA,NA
42,3,,NA,NA
44,2,,NA,NA
45,4,,NA,NA
45,6,,NA,NA
46,3,,NA,NA
46,5,,NA,NA
47,2,,NA,NA
48,4,,NA,NA
50,1,,NA,NA
50,3,,NA,NA
51,5,,NA,NA
53,2,,NA,NA
54,5,,NA,NA
55,2,,NA,NA
55,4,,NA,NA
56,6,,NA,NA
56,3,,NA,NA
57,3,,NA,NA
57,2,,NA,NA
57,1,,NA,NA
58,4,,NA,NA
58,6,,NA,NA
59,4,,NA,NA
59,3,,NA,NA
59,2,,NA,NA
59,6,,NA,NA
